x0000,y0000
1646859033,99.66436329,
1646859109,2.87535941,
1646859123,0.7303441465,
1646859310,29.80401265,
1646859320,247.8742527,
1646859329,481.941473,
1646859338,-108.3211893,
1646859347,99.6988322,
1646859356,100.1190634,
1646859365,100.0000015,
1646859375,100.0000015,
1646859384,100.0000015,
1646859486,4.430604958,
1646859495,0.3298590782,
1646859504,0.1243033685,
1646859514,-0.802070041,
1646859523,-0.9440043173,
1646859532,-0.3921658406,
1646859541,0.6357085228,
1646859550,0.4604850836,
1646859559,-0.1094467043,
1646859568,-0.1619853297,
1646859578,-0.5605064815,
1646859587,-0.6327172216,
1646859596,0.3241716969,
1646859605,0.7655052922,
1646859614,1.317219824,
1646859624,0.2162175938,
1646859634,0.6929419407,
1646859700,-1.003720223,
1646859710,0.06655143136,
1646859719,1.071466916,
1646859728,0.5225400001,
1646859737,0.4054917061,
1646859746,-0.4687539955,
1646859755,-0.557617584,
1646859765,-0.34408274,
1646859774,-0.1445386104,
1646859783,-0.5522134464,
1646859793,0.6062887212,
1646859802,-0.8627301191,
1646859812,1.474119999,
1646859821,0.4441263845,
1646859830,-0.8365139885,
1646859840,0.9669285882,
1646859849,0.6974707777,
1646859858,-0.7462943165,
1646859868,83.02055938,
1646859877,576.7184722,
1646859896,-20.68348243,
1646859905,11.35827882,
1646859915,236.1118531,
1646859924,84.3423542,
1646859933,98.28201211,
1646859942,95.95506898,
1646859951,100.8236908,
1646859960,104.409588,
1646859969,88.41202653,
1646859978,52.39577164,
1646859988,105.1103044,
1646859997,181.7915023,
1646860005,110.354113,
1646860015,115.821789,
1646860024,57.24154083,
1646860033,101.7162444,
1646860050,101.8070149,
1646860086,-1.093310369,
1646860095,0.7286820901,
1646860105,0.1601871253,
1646860114,0.7218098036,
1646860123,-0.380616275,
1646860132,-0.001645348787,
1646860141,0.6468867219,
1646860151,0.09297535589,
1646860160,-0.2779854201,
1646860169,-0.08791285601,
1646860178,0.7439370655,
1646860187,0.3661627634,
1646860196,-0.5500447605,
1646860205,0.7294524699,
1646860214,0.2081716624,
1646860224,-0.06133994854,
1646860233,0.4424408427,
1646860242,-0.06494678883,
1646860252,0.03059481729,
1646860261,1.789945391,
1646860270,0.8387263943,
1646860279,1.32627932,
1646860288,0.9713147033,
1646860297,0.8940879871,
1646860307,0.4512987265,
1646860316,-0.09103635117,
1646860325,-0.536808833,
1646860334,-0.8333526815,
1646860343,0.2586555997,
1646860353,-0.0008119019743,
1646860362,-0.4578542094,
1646860371,-0.9872626357,
1646860380,-1.472012919,
1646860389,-0.7000503139,
1646860398,0.8873473209,
1646860407,-1.222786105,
1646860417,-0.8413113586,
1646860426,-0.4994492712,
1646860435,-0.5207986751,
1646860444,2.401814682,
1646860453,8.176855645,
1646860462,13.87902944,
1646860471,17.3002806,
1646860481,19.83237239,
1646860490,22.81768982,
1646860499,23.43679033,
1646860508,24.73472496,
1646860518,24.46295285,
1646860528,25.5267164,
1646860537,25.01493775,
1646860547,25.63721418,
1646860556,25.25191744,
1646860565,24.60430622,
1646860574,23.84513364,
1646860584,24.97220277,
1646860593,23.19526009,
1646860602,22.09833597,
1646860611,19.69857852,
1646860620,17.22429068,
1646860629,14.64518446,
1646860638,12.90885403,
1646860647,11.51960045,
1646860657,10.22851973,
1646860666,8.087394883,
1646860675,7.183276238,
1646860684,5.380318207,
1646860694,5.394788001,
1646860703,3.899748498,
1646860712,4.545740872,
1646860721,3.52523675,
1646860730,3.291433796,
1646860739,2.852033638,
1646860748,2.49104535,
1646860758,1.656375907,
1646860767,1.153291976,
1646860776,1.650265762,
1646860785,1.509874837,
1646860794,1.353888362,
1646860803,-0.008940888392,
1646860812,0.08999222381,
1646860821,0.4982982074,
1646860830,0.2100505463,
1646860839,0.06343096833,
